time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.874273957346915e-08,-1.0229867566564769e-07,10.005579131610197,6.282988100121365,9.043176839362843e-05,0.0,-8.32822922132082e-06,-1.3600379509935097e-05,0.18595835024074242,-0.010840026423470282,0.004363182061927101,0.0,462.4266381293792,462.7701182845915,464.56964571934276,463.7191219028401
0.12000000000000001,-3.2978511877947925e-06,-6.7698654535814484e-06,10.017634049502673,6.282394518595833,0.0005081355789480213,0.0,-0.00013018423909892516,-0.00026558436929684085,0.21586673818161872,-0.008063277690539734,0.011709253068268703,0.0,414.44739023451604,415.0923396640277,413.3238485729973,413.5685668797575
0.18,-2.615692627135517e-05,-4.2879783425948525e-05,10.036509382511024,6.281360011798952,0.0012082416111933725,0.0,-0.0007134120176962072,-0.0010086533999909327,0.4132597011740382,-0.05085589676397089,0.011586671030141753,0.0,467.5796476644699,467.5699689669341,467.7978183374848,464.45409319763166
0.23999999999999996,-9.526274186760534e-05,-0.00015010102324042792,10.063276392384466,6.278536315954625,0.0019739889068235428,0.0,-0.001660979078297117,-0.002849167319031636,0.4789473410577987,-0.040388392906862705,0.015015967108443657,0.0,425.46751653978555,425.7608603680193,426.07479559595134,426.9671590586584
0.3,-0.00023710933447519092,-0.0004217107139224949,10.094099871188568,6.276104287471629,0.002707388526139276,0.0,-0.0031475135377661743,-0.006441012752058283,0.5484691957208535,-0.04082615607270445,0.005953791539610445,0.0,428.3698968608118,427.59860270768877,426.78941858082527,426.7511301252239
0.36000000000000004,-0.00048155621748091897,-0.0009593857945611751,10.129413153024835,6.273588275444576,0.002983353060670879,0.0,-0.005032114114195486,-0.011727043344181454,0.6285969922115655,-0.04424504907885959,0.0017427288778718718,0.0,430.9426498131494,430.5865213021341,431.14850896646317,430.85858862946543
0.4200000000000001,-0.0008612173991018195,-0.0019236945283421468,10.175303837330516,6.270859010668708,0.0032272722937332077,0.0,-0.00764541752713379,-0.020757943120853144,0.9009142312561933,-0.04809593053081998,0.008347283982934231,0.0,488.73877494367696,489.2306344877773,489.1277140386583,488.83988175378107
0.48000000000000015,-0.00139197755124779,-0.0034486692729509033,10.233424709282264,6.267739775010389,0.003495523996710048,0.0,-0.01008898200864825,-0.030393573602628062,1.03633028699777,-0.06119695411421684,-0.004701377727527502,0.0,449.8496709479102,448.79187785820994,448.9180084320803,447.8520378658024
0.5400000000000001,-0.0020756849861439533,-0.005638434703427924,10.300699501723459,6.264631879188869,0.0028222253563345845,0.0,-0.012652723619893374,-0.04297152498711049,1.205992738038007,-0.03763374421615391,-0.0293072509898651,0.0,460.8756691453553,458.9270548738516,458.34243397702187,460.2092766913879
0.6000000000000002,-0.002892457864252572,-0.008650408229551538,10.378251730910144,6.262152886873103,0.0014838002931618632,0.0,-0.014401017173450327,-0.05768971847232504,1.37888387478626,-0.04994237019133833,-0.011077484398853067,0.0,460.70869986198613,462.1476131329358,460.9254980615304,459.9509476406156
0.6600000000000003,-0.0037906283873386814,-0.012652684002971426,10.468382099497681,6.259247436663294,0.0008186642716330184,0.0,-0.015455354353071306,-0.07607737177331333,1.6251363391066322,-0.0455495557423818,-0.011101837329777153,0.0,483.22150126960076,483.2198006766176,482.5528281463402,482.88304404567543
0.7200000000000003,-0.0047321289376197895,-0.017716190794062545,10.568671576644753,6.257200507969516,6.2829988982164835,0.0,-0.01584709339719491,-0.09293766757765906,1.717705033849523,-0.01771020450797146,-0.03152490051752902,0.0,437.1205244911781,435.41543154899256,436.9925293097985,439.30617237222214
0.7800000000000004,-0.005672889740598098,-0.02381088876485187,10.673874324841032,6.256292046946456,6.281583010664962,0.0,-0.0153533581479827,-0.11031223946013369,1.788940880822143,-0.01044297037242594,-0.011191674550738676,0.0,430.1106029753285,431.82895477626863,430.0791382212316,430.6942624690406
0.8400000000000004,-0.0065507747681220595,-0.03110836118535535,10.78866920216845,6.255633951084267,6.280499255333421,0.0,-0.01380863181906652,-0.13300573167517216,2.0371432161331127,-0.012040110258249243,-0.0376262301939397,0.0,486.47929573121843,484.4960404630932,484.0212741833554,483.9012047470939
0.9000000000000005,-0.007309810959188887,-0.03971586464456542,10.915879232685365,6.25494693233968,6.2788139796799705,0.0,-0.011278521180479426,-0.15398174549829582,2.2028825672083236,-0.0102960721047985,-0.013760472758469236,0.0,459.948718191201,461.83457206920014,461.66851734537556,461.80622699174955
0.9600000000000005,-0.007897102759951853,-0.04951540231948187,11.050151141791181,6.254384273653255,6.277964493321257,0.0,-0.008216785288821244,-0.17272369587827074,2.272708156261883,-0.0076012928577589315,-0.014965443633451788,0.0,432.26949642679705,432.1680518700802,431.8173740692509,432.0447483056618
1.0200000000000005,-0.008281644458033456,-0.06046068226670555,11.188973596949157,6.253740698985272,6.276970047244678,0.0,-0.004508377812067298,-0.1921685788761457,2.3545384891989807,-0.017851689249471205,-0.02000267308163441,0.0,436.9208987528647,436.50082745769487,436.18066032354676,435.32391926682163
1.0800000000000005,-0.008386177335299977,-0.07275778398518558,11.338443761833444,6.252172206354743,6.27614443457956,0.0,0.0011465214583154988,-0.2178732125675577,2.627207239862713,-0.05303005990469433,-0.0035353717022493366,0.0,494.35754431050117,495.569512044576,493.8760006340022,491.27434777438964
